Dates,portfolio_returns,baseline_returns,djia_returns,SXXP Index_returns,MXEU Index_returns
2017-11-15,-0.07097198712158204,0.09193643,0.13254581,0.010155506188511517,0.010889150019584695
2017-11-16,-0.06795416186523437,0.10088601,0.14165045,0.018010155506188518,0.017861339600470042
2017-11-17,-0.06449909830474854,0.097995125,0.13677795,0.015021686237173402,0.014884449667058406
2017-11-20,-0.06426294791412354,0.09939581,0.14028636,0.021871363588278805,0.02169996083039547
2017-11-21,-0.0659074192123413,0.10658712,0.14809743,0.026393737437850465,0.026086956521739004
2017-11-22,-0.06205998543548584,0.10575689,0.14495108,0.023643287845128525,0.02326674500587543
2017-11-23,-0.058335852714538575,0.10575689,0.14495108,0.023801967629324024,0.02326674500587543
2017-11-24,-0.05396613864135742,0.10803043,0.1464992,0.022506082725060803,0.022013317665491597
2017-11-27,-0.05017081731414795,0.10760466,0.14760828,0.01785147572199302,0.017234625930278014
2017-11-28,-0.049892420951843264,0.11851292,0.16006373,0.023537501322331473,0.02342342342342327
2017-11-29,-0.04488011107635498,0.118099935,0.1651236,0.026023484608060865,0.025695260477869183
2017-11-30,-0.051433190963745115,0.12725824,0.18126501,0.022664762509256302,0.022013317665491597
2017-12-01,-0.05152491606140137,0.12497607,0.17928135,0.015471278959060676,0.014884449667058406
2017-12-04,-0.04707132528686524,0.12379242,0.18212648,0.024727599703797797,0.02412847630238922
2017-12-05,-0.05497098216247558,0.119590126,0.1768018,0.022796995662752575,0.022405013709361418
2017-12-06,-0.05844005793762207,0.11946238,0.17486823,0.021686237173384082,0.022169996083039437
2017-12-07,-0.06343024927520752,0.12274504,0.17830269,0.021924256849677404,0.022405013709361418
2017-12-08,-0.05093705590057373,0.12892722,0.18402982,0.02943509996826403,0.02969056012534267
2017-12-11,-0.04484497808837891,0.132542,0.18679747,0.028906167354279082,0.029455542499020687
2017-12-12,-0.05100823683166504,0.13429621,0.19257773,0.03572939807468526,0.036506071288679956
2017-12-13,-0.05279191383361816,0.13375974,0.19650172,0.03326986141965509,0.03392087739913814
2017-12-14,-0.04370110760498047,0.12914437,0.19276556,0.028535914524489635,0.029063846455150866
